,Date,Open,High,Low,Close,Volume,C1,C2,Baseline,ATR,State,Log
0,2017-01-24,27.81475411753202,27.94271720451061,27.80312030277446,27.912471771240234,1,0,1,-1,0.2604151349491107,StrategyStates.WARMUP_PERIOD,[]
1,2017-01-25,28.017168948047736,28.408041337174048,27.98459639687645,28.356855392456055,1,1,1,-1,0.2831826964891313,StrategyStates.WARMUP_PERIOD,[]
2,2017-01-26,28.30799932621845,28.48715015020172,28.291713049044617,28.370819091796875,1,1,1,-1,0.2796927811193911,StrategyStates.WARMUP_PERIOD,[]
3,2017-01-27,28.417358160834013,28.46621700500241,28.29172037222748,28.373151779174805,1,1,1,-1,0.26407114619338196,StrategyStates.WARMUP_PERIOD,[]
4,2017-01-30,28.135828034707167,28.298690795898438,28.073010048267953,28.298690795898438,1,1,1,-1,0.26024941243186156,StrategyStates.WARMUP_PERIOD,[]
5,2017-01-31,28.187019306279623,28.242857724227083,28.0637086530713,28.233551025390625,1,1,1,-1,0.25908572446015526,StrategyStates.WARMUP_PERIOD,[]
6,2017-02-01,29.555072513300907,30.36008511117176,29.55042005135074,29.955251693725586,1,1,1,-1,0.388878082079715,StrategyStates.WARMUP_PERIOD,[]
7,2017-02-02,29.776101068185778,30.10415375825147,29.72956757575258,29.904064178466797,1,1,1,-1,0.39004151986514657,StrategyStates.WARMUP_PERIOD,[]
8,2017-02-03,29.852873571971124,30.057617356626892,29.817975676923854,30.032024383544922,1,1,1,-1,0.3936975294309849,StrategyStates.WARMUP_PERIOD,[]
9,2017-02-06,30.043659873310055,30.36240583298248,29.99014503106531,30.31354522705078,1,1,1,-1,0.38671781982403025,StrategyStates.WARMUP_PERIOD,[]
10,2017-02-07,30.371706414202055,30.73233334886045,30.350767678999457,30.60204315185547,1,1,1,-1,0.4035024488761404,StrategyStates.WARMUP_PERIOD,[]
11,2017-02-08,30.560169252877603,30.76258415044125,30.529922042844593,30.720703125,1,1,1,-1,0.408155795853511,StrategyStates.WARMUP_PERIOD,[]
12,2017-02-09,30.762756675135666,30.949694011721817,30.638911447323135,30.942684173583984,1,1,1,-1,0.4183891756082913,StrategyStates.WARMUP_PERIOD,[]
13,2017-02-10,30.952045640601423,31.064206662140364,30.85623972621825,30.872594833374023,1,1,1,-1,0.4159604682116674,StrategyStates.WARMUP_PERIOD,[]
14,2017-02-13,31.09692910043427,31.269846879501245,31.019817262426116,31.145998001098633,1,1,1,-1,0.4343644070967438,StrategyStates.WARMUP_PERIOD,[]
15,2017-02-14,31.188052798721916,31.566598485291358,31.136644919615613,31.550243377685547,1,1,1,-1,0.4296775499354532,StrategyStates.WARMUP_PERIOD,[]
16,2017-02-15,31.667063339586477,31.842316414822072,31.456757509983994,31.664724349975586,1,1,1,-1,0.4432576787698085,StrategyStates.WARMUP_PERIOD,[]
17,2017-02-16,31.702122668789485,31.75586596403639,31.50817544229473,31.627349853515625,1,1,1,-1,0.4484858136960036,StrategyStates.WARMUP_PERIOD,[]
18,2017-02-17,31.568929476335466,31.73950817803478,31.568929476335466,31.713804244995117,1,1,1,-1,0.4392313116097508,StrategyStates.WARMUP_PERIOD,[]
19,2017-02-21,31.832971149141652,31.954480959916264,31.77455345086027,31.94279670715332,1,1,1,-1,0.4396380667593228,StrategyStates.WARMUP_PERIOD,[]
20,2017-02-22,31.879710528048907,32.04094397579931,31.804937714409505,32.03860855102539,1,1,1,-1,0.3046003650170849,StrategyStates.WARMUP_PERIOD,[]
21,2017-02-23,32.10169779136871,32.125062733610875,31.84933288263096,31.903076171875,1,1,1,-1,0.2975391984800151,StrategyStates.WARMUP_PERIOD,[]
